Olá | Hello
Bom dia | Good morning
Boa tarde | Good afternoon
Boa noite | Good evening / Good night
Tudo bem? | Everything okay?
Tudo bem! | All good!
Como estás? (informal) | How are you?
Como está? (formal) | How are you?
Estou bem, obrigado/a | I am well, thank you
Muito bem, obrigado/a | Very well, thank you
Estou ótimo/a | I am great
Também | Also / Me too
E tu? | And you? (informal)
E a senhora / o senhor? | And you? (formal)
Até logo | See you later
Até amanhã | See you tomorrow
Tchau | Bye
Desculpa / Desculpe | Sorry (informal / formal)
Por favor | Please
Obrigado / Obrigada | Thank you (male / female)
De nada | You're welcome
Com licença | Excuse me (to pass)
Não compreendo | I don't understand
Pode repetir? | Can you repeat?
Fala mais devagar, por favor | Please speak more slowly
