ficar em casa | to stay home
ficar em casa até tarde | to stay home until late
ir à praia | to go to the beach
apanhar sol | to sunbathe
estar deitado/a | to be lying down
tomar banho | to take a shower / bath
tomar medicamento | to take medicine
levar | to take / to carry
comer fora | to eat out
trabalhar em casa | to work from home
estar atrasado/a | to be late
estar ocupado/a | to be busy
estar preocupado/a | to be worried
ter pressa | to be in a hurry
ter fome | to be hungry
ter sede | to be thirsty
ter frio | to be cold
ter calor | to be hot
ter razão | to be right
ter sorte | to be lucky
ir às compras | to go shopping
