gostar de | to like
Gosto de música | I like music
Não gosto de... | I don't like...
amar | to love
Adoro... | I love / I adore...
preferir | to prefer
Prefiro... | I prefer...
pensar | to think
Acho que... | I think that...
mais ... do que | more ... than
menos ... do que | less ... than
tão ... como | as ... as
Ela é mais alta do que ele | She is taller than him
Este livro é menos caro do que aquele | This book is cheaper than that one
muito | a lot / very
pouco | a little / not much
mais ou menos | more or less / so-so
