ir + infinitivo = | futuro próximo (going to)
Vou estudar amanhã | I am going to study tomorrow
Vais trabalhar hoje? | Are you going to work today?
Ele vai comer fora | He is going to eat out
Vamos aprender português | We are going to learn Portuguese
Eles vão partir amanhã de manhã | They are going to leave tomorrow morning
Vou fazer o TPC | I am going to do the homework
Não vou sair hoje à noite | I am not going out tonight
O que vais fazer amanhã? | What are you going to do tomorrow?
Vamos ao cinema? | Shall we go to the cinema?
Ela vai ficar em casa | She is going to stay home
