a escola | the school
a faculdade / a universidade | the faculty / university
a biblioteca | the library
o supermercado | the supermarket
o restaurante | the restaurant
o café | the café
o hospital | the hospital
a farmácia | the pharmacy
a loja | the shop
o banco | the bank
o correio | the post office
a estação | the station
o aeroporto | the airport
a praia | the beach
o parque | the park
o museu | the museum
a rua | the street
a praça | the square
o centro da cidade | the city centre
o bairro | the neighbourhood
a residência | the residence / halls
Onde fica...? | Where is...?
É longe / perto? | Is it far / near?
Fica aqui perto | It's nearby
