Merda! | Sh*t!
Caralho! | F*ck! (very common exclamation in Portugal)
Foda-se! | F*ck! / For f*ck's sake!
Porra! | Damn! / F*ck! (milder than foda-se)
Que raio...! | What the hell...!
Vai à merda | Go to hell / F*ck off
Filho da puta | Son of a b*tch
Idiota | Idiot
Estúpido/a | Stupid
Imbecil | Imbecile / Moron
Parvo/a | Fool / Idiot (common in Portugal)
Tolo/a | Fool / Silly
Burro/a | Donkey / Stupid (lit. donkey)
Chato/a | Annoying / Boring person
Que seca! | What a bore! / So annoying!
Deixa-me em paz | Leave me alone
Vai embora | Go away
Não me chateies | Don't annoy me / Don't bother me
Cala-te! | Shut up!
Mete-te na tua vida | Mind your own business
Não é da tua conta | It's none of your business
Que palhaço/a | What a clown
Que vergonha! | What a shame! / How embarrassing!
Não me venhas com essa | Don't come to me with that / Don't give me that
