Preposições de lugar | Prepositions of place
ao lado de | next to / beside
em cima de | on top of
debaixo de | under / below
dentro de | inside
à esquerda de | to the left of
à direita de | to the right of
à frente de | in front of
atrás de | behind
entre ... e ... | between ... and ...
em frente | opposite / facing

Opostos | Opposites
limpo | clean
sujo | dirty
aberto | open
fechado | closed
quente | hot
frio | cold

Ligar / Desligar | On / Off
desligado | off / switched off
ligado | on / switched on
apagado | off / extinguished (fire or light)
aceso | on / lit (fire or light)
ligar a luz | to turn on the light
apagar a luz | to turn off the light
ligar o fogão | to turn on the stove
apagar o fogão | to turn off the stove

Exemplos | Example sentences
A panela está em cima do fogão. | The pot is on top of the stove.
O fogão está debaixo da panela. | The stove is under the pot.
A colher está entre o garfo e a faca. | The spoon is between the fork and the knife.
A torradeira está ao lado da janela. | The toaster is next to the window.
O frigorífico está desligado. | The fridge is switched off.
O micro-ondas está em cima da bancada. | The microwave is on top of the counter.
O esquentador está debaixo do armário. | The water heater is under the cupboard.
A gaveta está aberta. | The drawer is open.
As colheres estão dentro da gaveta. | The spoons are inside the drawer.
O fogão está apagado. | The stove is off.
O forno está debaixo do fogão. | The oven is under the stove.
A panela está fechada. | The pot is closed/covered.
A frigideira está à direita da panela. | The frying pan is to the right of the pot.
O guarda-louça está cheio. | The cupboard is full.
A torneira está fechada. | The tap is closed/off.
A máquina de lavar roupa está à frente do balde do lixo. | The washing machine is in front of the bin.
O balde do lixo está atrás da máquina de lavar roupa. | The bin is behind the washing machine.
A tigela está vazia. | The bowl is empty.
A varinha mágica está à esquerda da tigela. | The hand blender is to the left of the bowl.
A colher está entre o garfo e a faca. | The spoon is between the fork and the knife.
Está pendurado na parede. | It is hanging on the wall.
Há menos pratos no guarda-louça. | There are fewer plates in the cupboard.
